id,aktive-read-file,aktive-read-file-be,aktive-read-string,aktive-read-string-be
0,5124.319,7507.608,44377.084,44787.211
1,11490.037,16510.508,52955.026,55590.699
2,11173.856,16237.662,51433.584,55254.209
3,11025.634,27301.43,51284.139,54868.499
4,3774.262,6143.596,25682.807,27669.224
5,2813.536,4355.619,15841.839,17250.675
6,2536.454,3534.201,14714.531,15254.275
7,2645.769,3809.359,11744.71,13085.321
8,2433.092,3365.512,9488.002,11477.908
9,3076.332,3782.541,9683.526,11232.414
10,2753.703,3506.727,8076.883,9005.217
11,3604.149,3907.901,9783.272,10980.941
12,4011.626,4233.065,9531.369,11468.243
13,4448.42,4551.529,10072.432,11011.438
14,4612.859,5433.523,9789.374,11436.727
15,4683.323,5717.905,10939.32,11224.826
16,5185.687,6093.641,10484.135,11450.58
