id,unordered,sequential
0,101895.0,97092.0
1,9887.0,8052.0
2,74815.0,58011.0
3,731.5,506.7
4,6250.0,5179.0
5,62016.0,49589.0
6,64.14,56.54
7,618.3,544.1
8,6862.0,5351.0
9,61132.0,49020.0
10,8.204,6.745
11,72.47,51.02
12,690.7,546.2
13,6633.0,4906.0
14,62479.0,49530.0
15,2.629,2.344
16,8.963,6.949
17,70.42,61.62
18,726.4,605.8
19,6785.0,5386.0
20,69296.0,54509.0
21,2.182,1.656
22,3.356,2.651
23,16.236,13.69
24,138.37,116.99
25,1370.2,1068.2
26,13491.0,11190.0
27,137909.0,110541.0
28,1.585,1.788
29,2.087,2.03
30,7.4,8.289
31,49.73,50.199
32,504.32,499.99
33,5116.5,4899.0
34,50486.0,44766.0
35,472798.0,446867.0
36,122912.0,104822.0
37,16141.0,9618.0
38,24926.0,27652.0
39,1887.1,1812.9
40,6911.0,3898.0
41,17464.0,20747.0
42,622.68,573.12
43,1188.0,930.8
44,3677.0,3353.0
45,16402.0,18985.0
46,450.466,498.288
47,669.81,746.16
48,1215.1,1256.9
49,5133.0,7844.0
50,35475.0,51094.0
51,470.911,504.112
52,712.339,767.353
53,727.06,1069.84
54,2682.4,4446.2
55,18409.0,36397.0
56,180442.0,314515.0
57,404.224,506.877
58,565.646,699.298
59,688.512,947.122
60,2771.54,3551.54
61,20859.6,28515.4
62,196283.0,277444.0
63,1901604.0,2719123.0
64,454.389,502.761
65,603.798,717.622
66,660.532,966.892
67,2574.248,3602.638
68,20786.36,28305.08
69,197002.6,266974.9
70,1976987.0,2679764.0
71,22748370.0,27176044.0
72,122009.0,116100.0
73,12572.0,17467.0
74,27108.0,28395.0
75,1848.3,1602.8
76,5718.0,4845.0
77,18672.0,17552.0
78,585.48,624.59
79,1404.9,1132.4
80,2626.0,4458.0
81,19158.0,19215.0
82,488.652,563.436
83,764.47,857.36
84,1550.3,1298.2
85,9469.0,7364.0
86,46858.0,51594.0
87,512.775,572.676
88,843.337,891.764
89,952.26,1140.06
90,3876.4,4315.7
91,23869.0,33364.0
92,201143.0,306738.0
93,495.024,567.202
94,665.666,796.508
95,765.069,1029.096
96,2968.33,3576.16
97,23800.8,29066.9
98,209928.0,281265.0
99,2059859.0,2628193.0
100,475.278,561.93
101,686.398,801.625
102,919.831,1048.671
103,2946.873,3416.052
104,22144.74,27025.46
105,202331.6,258689.8
106,2061983.0,2603634.0
107,20808739.0,26514115.0
108,117831.0,125877.0
109,13939.0,15909.0
110,26173.0,30152.0
111,2075.4,1704.7
112,5028.0,6182.0
113,15907.0,18833.0
114,654.33,708.71
115,1504.3,1247.5
116,3533.0,4537.0
117,16627.0,22438.0
118,536.561,634.076
119,723.26,941.65
120,1506.2,1528.3
121,8801.0,6073.0
122,35612.0,47483.0
123,521.201,630.016
124,854.465,1006.886
125,966.47,1213.91
126,3473.5,3981.2
127,28401.0,30135.0
128,219337.0,287128.0
129,598.758,629.603
130,758.025,897.963
131,929.371,1110.43
132,3501.79,3472.81
133,25134.9,26096.6
134,212813.0,253955.0
135,2091224.0,2472639.0
136,580.091,633.072
137,690.35,897.125
138,925.809,1124.961
139,3231.855,3414.789
140,23414.01,25488.74
141,215794.1,244447.5
142,2145466.0,2472339.0
143,21337722.0,25088126.0
144,123000.0,139105.0
145,17455.0,12009.0
146,29781.0,31313.0
147,2602.6,1801.8
148,6632.0,5177.0
149,15201.0,19162.0
150,762.68,758.46
151,1314.6,1384.9
152,4799.0,4773.0
153,17586.0,22913.0
154,621.538,704.676
155,957.38,1012.36
156,1848.4,1655.7
157,6910.0,6405.0
158,42505.0,49152.0
159,633.798,700.779
160,935.926,1081.089
161,1186.51,1321.27
162,4584.2,4121.1
163,29440.0,30680.0
164,203569.0,248771.0
165,634.627,702.906
166,892.283,970.955
167,1067.148,1201.751
168,3899.01,3450.99
169,26187.2,25836.4
170,217344.0,248139.0
171,2397727.0,2313026.0
172,659.76,695.837
173,862.047,960.339
174,1023.755,1210.133
175,3638.348,3385.255
176,24173.98,23886.86
177,213987.1,227349.4
178,2109452.0,2337387.0
179,21617962.0,23806838.0
180,125816.0,99382.0
181,18884.0,11238.0
182,26535.0,26368.0
183,2270.6,2090.3
184,17366.0,5126.0
185,17675.0,20186.0
186,654.03,786.12
187,1167.3,1148.3
188,2861.0,4471.0
189,14775.0,22474.0
190,664.373,754.133
191,978.28,1094.33
192,1836.2,1703.9
193,7463.0,6817.0
194,39018.0,39307.0
195,721.298,767.587
196,1034.934,1158.974
197,1372.07,1415.48
198,4992.2,4005.8
199,32908.0,26334.0
200,211032.0,247181.0
201,704.165,764.023
202,948.124,1045.932
203,1145.099,1289.601
204,4118.03,3478.5
205,27135.5,24901.0
206,229113.0,222034.0
207,2113573.0,2121501.0
208,679.933,754.647
209,971.277,1038.514
210,1213.518,1297.414
211,3816.616,3422.994
212,24471.92,23483.97
213,218097.1,206027.6
214,2180898.0,2196970.0
215,24786297.0,22549073.0
216,131096.0,107926.0
217,19848.0,17475.0
218,27656.0,30513.0
219,2156.1,1925.1
220,5484.0,5882.0
221,17174.0,20903.0
222,805.28,867.83
223,1608.6,1424.8
224,3990.0,3573.0
225,17687.0,24503.0
226,775.531,821.81
227,1084.91,1158.25
228,1818.8,2024.1
229,6796.0,4957.0
230,39528.0,38597.0
231,777.81,839.135
232,1104.153,1242.923
233,1454.59,1472.52
234,5814.7,4107.2
235,28133.0,26179.0
236,221706.0,223593.0
237,773.092,827.726
238,1022.852,1119.054
239,1254.294,1371.6
240,4356.4,3378.84
241,25912.5,22041.2
242,246893.0,202453.0
243,2216120.0,2092126.0
244,788.052,830.071
245,1035.221,1116.927
246,1383.769,1385.697
247,4288.637,3475.63
248,24962.5,21104.15
249,227911.5,204371.7
250,2213817.0,2277204.0
251,21947363.0,20871764.0
252,123145.0,117707.0
253,16777.0,12559.0
254,30913.0,30705.0
255,3752.0,2252.5
256,4936.0,4386.0
257,20088.0,24007.0
258,928.69,932.8
259,1553.2,1692.9
260,4232.0,4235.0
261,18618.0,22836.0
262,853.481,881.147
263,1180.59,1223.91
264,1837.6,1858.6
265,9236.0,6101.0
266,40739.0,35237.0
267,835.207,891.085
268,1202.953,1300.097
269,1639.43,1613.27
270,5791.3,4263.9
271,29530.0,21460.0
272,218213.0,199917.0
273,846.04,896.42
274,1123.553,1185.413
275,1402.116,1469.164
276,4488.23,3621.68
277,26242.1,19951.9
278,241431.0,201884.0
279,2181704.0,2047327.0
280,842.558,885.702
281,1139.809,1166.282
282,1317.566,1477.38
283,4537.01,3493.271
284,26575.77,20254.88
285,230319.7,208747.0
286,2270722.0,1934321.0
287,22476374.0,19788943.0
288,114640.0,123285.0
289,14844.0,15575.0
290,74928.0,74398.0
291,1586.4,1648.5
292,15252.0,12486.0
293,77090.0,74886.0
294,251.65,270.81
295,1442.8,1544.4
296,9234.0,9937.0
297,70836.0,96346.0
298,125.775,148.449
299,261.72,412.48
300,1725.9,3112.9
301,14239.0,26673.0
302,88277.0,240777.0
303,132.123,154.427
304,218.92,315.478
305,900.53,1943.98
306,7033.9,18335.3
307,75955.0,178264.0
308,595993.0,1703588.0
309,108.833,138.841
310,186.005,297.31
311,884.928,1772.023
312,7947.48,16160.36
313,68907.1,148830.5
314,760801.0,1308762.0
315,8403026.0,13746926.0
316,114.922,130.855
317,202.727,285.406
318,1201.713,1692.678
319,8754.651,15951.733
320,71511.26,143285.91
321,796528.2,1402088.1
322,7481104.0,13998649.0
323,76645195.0,139168381.0
324,102611.0,119219.0
325,15613.0,11288.0
326,56960.0,103783.0
327,1246.5,1598.4
328,10234.0,12814.0
329,63162.0,76485.0
330,224.71,262.4
331,1174.4,1651.1
332,11730.0,14126.0
333,62992.0,93122.0
334,107.397,146.677
335,237.59,419.15
336,1529.0,3099.1
337,9281.0,21237.0
338,83591.0,264617.0
339,125.436,155.757
340,180.355,321.398
341,841.73,1972.95
342,7484.4,17026.2
343,65753.0,157993.0
344,655691.0,1505252.0
345,103.265,133.971
346,185.42,285.712
347,937.855,1737.113
348,8557.98,15933.58
349,70287.8,142394.8
350,750261.0,1370666.0
351,7527743.0,14371888.0
352,114.248,140.649
353,208.804,290.4
354,992.848,1731.706
355,8695.217,15953.66
356,79029.7,142068.34
357,803637.7,1399716.9
358,8438708.0,14107563.0
359,78340247.0,140216135.0
360,110955.0,108996.0
361,16416.0,13914.0
362,73060.0,70382.0
363,1409.2,1438.6
364,6487.0,14748.0
365,65418.0,74409.0
366,231.59,260.15
367,1435.5,1670.6
368,10849.0,12553.0
369,64238.0,101179.0
370,129.879,145.672
371,239.63,398.27
372,1578.4,2895.1
373,9676.0,23892.0
374,96064.0,239469.0
375,128.0,152.027
376,222.388,320.832
377,989.73,1940.37
378,7515.1,17423.9
379,72109.0,152234.0
380,783702.0,1599708.0
381,105.975,139.977
382,208.308,286.363
383,946.575,1734.253
384,8927.58,16243.6
385,83050.0,148046.5
386,658300.0,1397240.0
387,7647387.0,14161361.0
388,116.252,151.822
389,198.846,289.685
390,966.992,1754.568
391,9344.834,16173.626
392,71870.09,141522.17
393,824411.6,1382405.4
394,7078480.0,14030723.0
395,79020406.0,140182305.0
396,134810.0,102564.0
397,17248.0,17502.0
398,42562.0,38414.0
399,1404.1,1701.6
400,7640.0,5705.0
401,39148.0,40256.0
402,249.03,301.84
403,894.7,986.3
404,5326.0,4474.0
405,37316.0,40031.0
406,148.076,180.566
407,253.67,337.06
408,1032.3,1637.7
409,4932.0,11269.0
410,46754.0,113890.0
411,158.99,187.619
412,191.62,279.998
413,461.07,964.39
414,2968.4,7196.9
415,28281.0,75681.0
416,312953.0,725943.0
417,135.478,170.328
418,189.23,262.249
419,447.302,879.922
420,2859.0,6212.47
421,31166.9,59248.5
422,331794.0,585318.0
423,3481591.0,6579935.0
424,147.018,173.643
425,213.989,262.68
426,453.814,856.343
427,3311.345,6367.75
428,31609.49,67215.07
429,319154.8,657616.5
430,3303860.0,6539765.0
431,32892591.0,63256140.0
432,120016.0,99062.0
433,18394.0,14837.0
434,30374.0,35149.0
435,1549.7,1402.2
436,4158.0,5620.0
437,23610.0,27991.0
438,276.11,336.79
439,725.4,772.7
440,4945.0,5174.0
441,22816.0,30729.0
442,167.602,214.2
443,263.39,350.84
444,852.4,1300.3
445,4494.0,7714.0
446,31579.0,72532.0
447,172.623,215.712
448,210.41,364.63
449,422.42,813.13
450,2294.9,4882.7
451,20408.0,50722.0
452,227579.0,467794.0
453,155.554,198.565
454,201.73,307.586
455,401.852,748.744
456,2647.66,4666.48
457,22008.6,40355.9
458,240766.0,400179.0
459,2306824.0,4264051.0
460,159.028,201.846
461,190.716,305.408
462,332.429,748.279
463,2860.028,4792.128
464,23870.15,41722.09
465,233572.1,448380.7
466,2265157.0,4371850.0
467,23399926.0,43100026.0
468,121307.0,117387.0
469,10799.0,13632.0
470,29616.0,28851.0
471,1904.3,1691.8
472,3929.0,5342.0
473,20828.0,25975.0
474,338.35,432.22
475,788.7,855.4
476,3319.0,3542.0
477,22748.0,24337.0
478,241.657,299.169
479,317.5,423.65
480,692.3,1241.6
481,4511.0,7891.0
482,26311.0,56782.0
483,240.521,278.903
484,294.115,399.86
485,431.59,816.77
486,2157.8,4611.9
487,16882.0,33917.0
488,175818.0,326394.0
489,220.419,264.338
490,281.524,371.743
491,387.145,747.729
492,1916.1,4109.35
493,17313.7,35264.1
494,183992.0,338062.0
495,1992522.0,3114550.0
496,220.198,263.372
497,273.896,371.304
498,437.658,764.11
499,2117.729,4121.826
500,19113.31,32817.35
501,185835.9,336094.5
502,1874975.0,3421514.0
503,19275267.0,33756102.0
504,103751.0,121511.0
505,15435.0,14093.0
506,26341.0,29746.0
507,1883.3,1642.2
508,4065.0,4682.0
509,17532.0,19164.0
510,421.84,470.5
511,731.1,912.3
512,3232.0,4387.0
513,18634.0,19725.0
514,304.492,325.843
515,398.81,487.96
516,756.9,1162.9
517,3936.0,5072.0
518,24199.0,43336.0
519,303.834,336.968
520,397.383,467.269
521,530.07,834.05
522,2382.6,4139.8
523,17720.0,30507.0
524,171993.0,305410.0
525,291.266,322.528
526,370.806,431.236
527,486.198,767.158
528,1922.97,3828.83
529,16325.2,30100.6
530,157030.0,297865.0
531,1691754.0,2941854.0
532,275.526,325.417
533,351.724,433.263
534,445.204,763.848
535,2140.024,3834.215
536,16248.07,28101.78
537,159853.0,286930.0
538,1658812.0,2891737.0
539,16231107.0,28852233.0
540,120608.0,120300.0
541,13619.0,12585.0
542,29769.0,25949.0
543,1784.8,1761.3
544,5356.0,3556.0
545,17054.0,18317.0
546,475.71,481.48
547,847.6,874.1
548,3328.0,3055.0
549,14144.0,16831.0
550,361.182,379.205
551,501.97,555.37
552,797.4,1248.5
553,3600.0,9241.0
554,20494.0,43700.0
555,356.464,407.18
556,487.232,556.305
557,567.18,876.08
558,2010.5,4145.2
559,15705.0,29301.0
560,149311.0,278282.0
561,353.407,372.066
562,444.614,516.397
563,466.286,786.086
564,1590.97,3501.03
565,13625.2,28068.2
566,145505.0,275054.0
567,1472132.0,2648188.0
568,355.538,373.004
569,447.275,513.073
570,539.428,797.452
571,1777.277,3184.63
572,15025.29,23860.58
573,149770.8,274625.0
574,1773648.0,2658631.0
575,15071460.0,25739505.0
576,122402.0,126288.0
577,17915.0,10719.0
578,26693.0,30747.0
579,1690.1,1713.9
580,3427.0,3900.0
581,15348.0,19778.0
582,556.16,535.29
583,830.6,776.7
584,3214.0,4427.0
585,15452.0,19362.0
586,390.239,450.931
587,495.06,656.18
588,878.7,1271.8
589,3905.0,11903.0
590,28762.0,53508.0
591,409.582,445.745
592,534.071,651.418
593,512.83,978.2
594,2033.9,4476.8
595,16663.0,37243.0
596,175396.0,335663.0
597,359.977,437.162
598,475.043,600.031
599,554.034,872.896
600,2206.09,3773.81
601,17023.9,30405.6
602,181602.0,289488.0
603,1737737.0,2825192.0
604,398.569,440.068
605,505.863,602.591
606,582.439,875.659
607,2170.879,3647.606
608,18045.96,29821.52
609,178770.4,282434.3
610,1979959.0,2840266.0
611,17762699.0,28604288.0
