id,aktive-cached,warp-rotate-near-neighbour,warp-rotate-bilinear,warp-rotate-bicubic,warp-rotate-lanczos
0,9268.37,58766.17,74047.26,222856.35,1622289.92
1,16195.84,65305.95,92905.14,256999.89,1753207.65
2,16048.33,57474.17,84308.27,269667.94,1703427.92
3,16022.5,58631.78,84502.5,245229.3,1699091.48
4,6558.92,37300.7,47604.84,138405.58,963962.87
5,4556.41,23916.04,34225.01,97421.73,707777.64
6,3386.8,18807.88,26711.38,77569.73,556408.99
7,3286.65,18267.78,27034.87,72282.09,518944.49
8,3134.6,16927.09,24298.91,68689.96,482568.16
9,3602.39,19163.33,23592.44,61934.84,476196.99
10,3992.15,16423.98,24425.91,63292.58,390637.35
11,4643.98,15998.06,23295.33,62140.0,413348.86
12,4624.28,17650.46,23612.91,64049.3,425438.57
13,4791.31,19091.44,24110.01,62244.07,498927.71
14,5067.17,17679.23,25005.56,63704.54,484328.85
15,5206.91,18647.92,24548.33,68541.66,415593.98
16,5357.1,18373.84,25976.06,66404.85,416802.14
